journal	paper	url	size_in_kb	author
IJHS-1-1966-Issue-1	The Theory of Chemical Combination in Ancient Indian Philosophies	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_1_PRay.pdf	272.0	Priyadaranjan Ray
IJHS-1-1966-Issue-1	What was ‘The Scientific Revolution’ ?	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_2_JRRavetz.pdf	133.0	J R Ravetz
IJHS-1-1966-Issue-1	Stellar Distances: Galileo's Method and Its Subsequent History	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_3_MHoskin.pdf	189.0	Michael Hoskin
IJHS-1-1966-Issue-1	A Survival of Babylonian Arithmetic in ew Guinea?	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_4_DJDSPrice.pdf	80.0	Derek J De Solla Price
IJHS-1-1966-Issue-1	The Impetus Theory of the Vaisesikas	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_5_SNSen.pdf	261.0	S N Sen
IJHS-1-1966-Issue-1	New History of Optical Microscope	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_6_VRonchi.pdf	275.0	Vasco Ronchi
IJHS-1-1966-Issue-1	The Indian Doctrine of Five Elemnets	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_7_VSubbarayappa.pdf	174.0	V Subbarayappa
IJHS-1-1966-Issue-1	Binomial Theorem in Ancient India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_8_AKBag.pdf	134.0	Amulya Kumar Bag
IJHS-1-1966-Issue-1	Problems of Biological Philisophy with regard to the Philosophy of the Upanisads	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_1_9_BRensch.pdf	147.0	Bernhard Rensch
IJHS-1-1966-Issue-2	Uigur and Tibetian Lists of the Indian Lunar Mansions	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_1_WPetri.pdf	187.0	Winfried Petri
IJHS-1-1966-Issue-2	Methods of Sterilization and Sex– Determinaton in the Arthava–Veda and in the Brhad–Aranyakopanishad	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_2_MRoy.pdf	171.0	Mira Roy
IJHS-1-1966-Issue-2	Trigonometrical Series in the Karanapaddhati and the Probable Date of the Text	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_3_AKBag.pdf	174.0	A K Bag
IJHS-1-1966-Issue-2	Land Classification in Ancient India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_4_SPRaychaudhuri.pdf	117.0	S P Raychaudhuri
IJHS-1-1966-Issue-2	Introduction of Western Science in India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_5_SNSen.pdf	284.0	S N Sen
IJHS-1-1966-Issue-2	Characteristics of the History of Science and Technology of Modern Japan	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_6_MTanaka.pdf	245.0	Minoru Tanaka
IJHS-1-1966-Issue-2	Paper Technology in Medieval India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_7_SAKGhori.pdf	314.0	S A K Ghori and A Rahman
IJHS-1-1966-Issue-2	Botanical Explorations of Victor Jacquemont	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol01_2_8_RKGupta.pdf	239.0	Raj Kumar Gupta
